# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-t" "transcript" "-a" "../KPN MGH 78578_genome.gtf" "-o" "reads_annotate/SRR1720515_annotate.tsv" "bam_merge_paired/SRR1720515_merge_sort.bam" 
Geneid	Chr	Start	End	Strand	Length	bam_merge_paired/SRR1720515_merge_sort.bam
gene-KPN_01243	CP000647.1	1394484	1394849	-	366	197
gene-KPN_01244	CP000647.1	1394982	1397165	-	2184	90
gene-KPN_01245	CP000647.1	1397437	1397976	-	540	82
gene-KPN_01246	CP000647.1	1398031	1398774	-	744	37
gene-KPN_01247	CP000647.1	1398800	1399213	-	414	65
gene-KPN_01248	CP000647.1	1399447	1400121	+	675	16760
gene-KPN_01249	CP000647.1	1400206	1400880	-	675	294
gene-KPN_01250	CP000647.1	1400932	1403217	-	2286	26
gene-KPN_01251	CP000647.1	1404659	1405606	-	948	0
gene-KPN_01252	CP000647.1	1405681	1406163	+	483	21
gene-KPN_01253	CP000647.1	1406167	1406976	-	810	48
gene-KPN_01254	CP000647.1	1406976	1408169	-	1194	106
gene-KPN_01255	CP000647.1	1408179	1409537	-	1359	73
gene-KPN_01256	CP000647.1	1409541	1411136	-	1596	147
gene-KPN_01257	CP000647.1	1411136	1412698	-	1563	22
gene-KPN_01258	CP000647.1	1413008	1413850	+	843	175
gene-KPN_01259	CP000647.1	1413867	1414487	+	621	368
gene-KPN_01260	CP000647.1	1415529	1416425	+	897	63
gene-KPN_01261	CP000647.1	1416955	1417377	-	423	0
gene-KPN_01262	CP000647.1	1417358	1418734	-	1377	0
gene-KPN_01263	CP000647.1	1418734	1419240	-	507	0
gene-KPN_01264	CP000647.1	1419343	1419576	-	234	0
gene-KPN_01265	CP000647.1	1419724	1420626	+	903	445
gene-KPN_01266	CP000647.1	1420687	1421277	-	591	21
gene-KPN_01267	CP000647.1	1421274	1422074	-	801	48
gene-KPN_01268	CP000647.1	1422254	1423336	+	1083	361
gene-KPN_01269	CP000647.1	1423384	1423635	-	252	742
gene-KPN_01270	CP000647.1	1424042	1426639	+	2598	4317
gene-KPN_01271	CP000647.1	1426985	1427959	+	975	154
gene-KPN_01272	CP000647.1	1428761	1431433	+	2673	9499
gene-KPN_01273	CP000647.1	1431480	1432082	-	603	731
gene-KPN_01274	CP000647.1	1432246	1433013	+	768	94
gene-KPN_01275	CP000647.1	1433149	1433457	+	309	48
gene-KPN_01276	CP000647.1	1433464	1434633	+	1170	335
gene-KPN_01277	CP000647.1	1434876	1435562	+	687	22
gene-KPN_01278	CP000647.1	1435562	1435888	+	327	188
gene-KPN_01279	CP000647.1	1436020	1436160	-	141	608
gene-KPN_01280	CP000647.1	1436514	1437263	-	750	103
gene-KPN_01281	CP000647.1	1437335	1437514	-	180	34
gene-KPN_01282	CP000647.1	1437673	1439607	-	1935	708
gene-KPN_01283	CP000647.1	1439689	1440846	-	1158	13
gene-KPN_01284	CP000647.1	1441037	1441825	-	789	1524
gene-KPN_01285	CP000647.1	1442024	1442575	-	552	37
gene-KPN_01286	CP000647.1	1442814	1444193	+	1380	110
gene-KPN_01287	CP000647.1	1444238	1445047	-	810	110
gene-KPN_01288	CP000647.1	1445049	1446041	-	993	112
gene-KPN_01289	CP000647.1	1446041	1446931	-	891	51
gene-KPN_01290	CP000647.1	1446918	1447883	-	966	179
gene-KPN_01291	CP000647.1	1447880	1449523	-	1644	189
gene-KPN_01292	CP000647.1	1450870	1451715	+	846	83
gene-KPN_01293	CP000647.1	1451682	1454003	-	2322	82
gene-KPN_01294	CP000647.1	1454175	1455344	+	1170	2
gene-KPN_01295	CP000647.1	1455370	1456761	+	1392	4
gene-KPN_01296	CP000647.1	1456752	1457741	-	990	19
gene-KPN_01297	CP000647.1	1457879	1458562	+	684	669
gene-KPN_01298	CP000647.1	1458618	1458842	+	225	15
gene-KPN_01299	CP000647.1	1458842	1459201	+	360	50
gene-KPN_01300	CP000647.1	1459230	1459448	+	219	12
gene-KPN_01301	CP000647.1	1459551	1460948	+	1398	96
gene-KPN_01302	CP000647.1	1460945	1462006	+	1062	92
gene-KPN_01303	CP000647.1	1462096	1462995	-	900	51
gene-KPN_01304	CP000647.1	1463109	1464422	+	1314	40
gene-KPN_01305	CP000647.1	1464595	1466136	+	1542	181
gene-KPN_01306	CP000647.1	1466238	1467290	+	1053	89
gene-KPN_01308	CP000647.1	1467966	1468931	+	966	77
gene-KPN_01309	CP000647.1	1468928	1469635	-	708	93
gene-KPN_01310	CP000647.1	1469821	1471437	+	1617	526
gene-KPN_01311	CP000647.1	1471605	1471991	-	387	36
gene-KPN_01312	CP000647.1	1472222	1473055	+	834	28
gene-KPN_01313	CP000647.1	1473180	1474064	-	885	61
gene-KPN_01314	CP000647.1	1475446	1476648	+	1203	42
gene-KPN_01315	CP000647.1	1476760	1477596	+	837	77
gene-KPN_01316	CP000647.1	1477657	1477740	+	84	0
gene-KPN_01317	CP000647.1	1477764	1478072	+	309	1
gene-KPN_01318	CP000647.1	1478632	1479546	-	915	161
gene-KPN_01319	CP000647.1	1479689	1480423	+	735	8
gene-KPN_01320	CP000647.1	1480640	1482172	+	1533	190
gene-KPN_01321	CP000647.1	1482371	1482919	-	549	29
gene-KPN_01322	CP000647.1	1483578	1484069	+	492	5
gene-KPN_01323	CP000647.1	1484106	1485656	+	1551	20
gene-KPN_01324	CP000647.1	1485666	1487009	+	1344	1
gene-KPN_01325	CP000647.1	1487006	1487695	+	690	2
gene-KPN_01326	CP000647.1	1487692	1489398	+	1707	0
gene-KPN_01327	CP000647.1	1489403	1489894	+	492	3
gene-KPN_01328	CP000647.1	1490213	1492813	+	2601	2
gene-KPN_01329	CP000647.1	1492806	1495325	+	2520	13
gene-KPN_01330	CP000647.1	1495318	1496529	+	1212	0
gene-KPN_01331	CP000647.1	1496534	1496938	+	405	2
gene-KPN_01332	CP000647.1	1496928	1497029	+	102	1
gene-KPN_01333	CP000647.1	1497333	1497584	+	252	0
gene-KPN_01334	CP000647.1	1497730	1499490	+	1761	12
gene-KPN_01335	CP000647.1	1499487	1499747	+	261	0
gene-KPN_01336	CP000647.1	1499734	1500501	+	768	2
gene-KPN_01337	CP000647.1	1501395	1501784	+	390	39
gene-KPN_01338	CP000647.1	1502017	1502493	+	477	80
gene-KPN_01339	CP000647.1	1502858	1503199	+	342	0
gene-KPN_01340	CP000647.1	1503379	1503513	+	135	0
gene-KPN_01341	CP000647.1	1503939	1505147	+	1209	31
gene-KPN_01342	CP000647.1	1505225	1508599	+	3375	71
gene-KPN_01343	CP000647.1	1508599	1510197	+	1599	61
gene-KPN_01344	CP000647.1	1510228	1511283	+	1056	0
gene-KPN_01345	CP000647.1	1511280	1511750	+	471	0
gene-KPN_01346	CP000647.1	1511844	1512812	-	969	3
gene-KPN_01347	CP000647.1	1512893	1514647	+	1755	19
gene-KPN_01348	CP000647.1	1516265	1516324	-	60	2
gene-KPN_01349	CP000647.1	1516455	1516838	+	384	7
gene-KPN_01350	CP000647.1	1516905	1517618	-	714	22
gene-KPN_01351	CP000647.1	1517692	1518285	+	594	7
gene-KPN_01352	CP000647.1	1518290	1519045	-	756	2
gene-KPN_01353	CP000647.1	1519204	1520082	+	879	14
gene-KPN_01354	CP000647.1	1520365	1521294	-	930	5
gene-KPN_01355	CP000647.1	1521433	1522338	+	906	12
gene-KPN_01356	CP000647.1	1522358	1523281	-	924	19
gene-KPN_01357	CP000647.1	1523354	1524238	+	885	16
gene-KPN_01358	CP000647.1	1524231	1525142	+	912	10
gene-KPN_01359	CP000647.1	1525199	1525747	-	549	8
gene-KPN_01360	CP000647.1	1525836	1526870	+	1035	3
gene-KPN_01361	CP000647.1	1526915	1528090	-	1176	0
gene-KPN_01362	CP000647.1	1528311	1529117	+	807	18
gene-KPN_01363	CP000647.1	1529114	1530139	+	1026	9
gene-KPN_01364	CP000647.1	1530132	1530800	+	669	0
gene-KPN_01365	CP000647.1	1530829	1532067	-	1239	1
gene-KPN_01366	CP000647.1	1532067	1532681	-	615	12
gene-KPN_01367	CP000647.1	1532933	1533412	-	480	13
gene-KPN_01368	CP000647.1	1533747	1535126	+	1380	0
gene-KPN_01369	CP000647.1	1535377	1536123	+	747	30
gene-KPN_01370	CP000647.1	1536236	1536430	-	195	207
gene-KPN_01371	CP000647.1	1536667	1537761	-	1095	65
gene-KPN_01372	CP000647.1	1537748	1538497	-	750	12
gene-KPN_01373	CP000647.1	1538771	1539754	+	984	135
gene-KPN_01374	CP000647.1	1540280	1541653	+	1374	57
gene-KPN_01375	CP000647.1	1541699	1542634	-	936	71
gene-KPN_01376	CP000647.1	1542683	1543921	-	1239	0
gene-KPN_01377	CP000647.1	1543922	1544134	-	213	0
gene-KPN_01378	CP000647.1	1544199	1544459	-	261	0
gene-KPN_01379	CP000647.1	1544446	1544754	-	309	0
gene-KPN_01380	CP000647.1	1544751	1545362	-	612	0
gene-KPN_01381	CP000647.1	1545355	1545564	-	210	0
gene-KPN_01382	CP000647.1	1545742	1546743	-	1002	0
gene-KPN_01383	CP000647.1	1546756	1549872	-	3117	0
gene-KPN_01384	CP000647.1	1550010	1550366	-	357	2
gene-KPN_01385	CP000647.1	1550662	1550970	-	309	0
gene-KPN_01386	CP000647.1	1551505	1551678	-	174	0
gene-KPN_01387	CP000647.1	1551714	1552598	-	885	0
gene-KPN_01388	CP000647.1	1553547	1554011	+	465	0
gene-KPN_01389	CP000647.1	1554141	1554935	+	795	0
gene-KPN_01390	CP000647.1	1554953	1555840	+	888	0
gene-KPN_01391	CP000647.1	1555843	1556592	+	750	0
gene-KPN_01392	CP000647.1	1556965	1557165	+	201	0
gene-KPN_01393	CP000647.1	1557162	1557413	+	252	0
gene-KPN_01394	CP000647.1	1557410	1557679	+	270	0
gene-KPN_01395	CP000647.1	1557676	1559535	+	1860	0
gene-KPN_01396	CP000647.1	1559689	1560132	+	444	0
gene-KPN_01397	CP000647.1	1560133	1560264	+	132	0
gene-KPN_01398	CP000647.1	1560612	1560845	+	234	0
gene-KPN_01399	CP000647.1	1560881	1561477	+	597	0
gene-KPN_01400	CP000647.1	1561979	1562323	+	345	0
gene-KPN_01401	CP000647.1	1562496	1563251	+	756	0
gene-KPN_01402	CP000647.1	1563626	1564012	-	387	0
gene-KPN_01403	CP000647.1	1564704	1565099	+	396	0
gene-KPN_01404	CP000647.1	1565086	1565367	+	282	0
gene-KPN_01405	CP000647.1	1565367	1565993	+	627	0
gene-KPN_01406	CP000647.1	1566001	1566177	+	177	0
gene-KPN_01407	CP000647.1	1566199	1566381	-	183	0
gene-KPN_01408	CP000647.1	1567215	1567733	+	519	0
gene-KPN_01409	CP000647.1	1567798	1568175	-	378	0
gene-KPN_01410	CP000647.1	1568492	1568635	+	144	0
gene-KPN_01411	CP000647.1	1569160	1569654	-	495	0
gene-KPN_01412	CP000647.1	1569749	1570753	+	1005	0
gene-KPN_01413	CP000647.1	1570731	1572035	+	1305	2
gene-KPN_01414	CP000647.1	1572040	1573464	+	1425	0
gene-KPN_01415	CP000647.1	1573535	1574560	+	1026	0
gene-KPN_01416	CP000647.1	1574667	1575431	+	765	0
gene-KPN_01417	CP000647.1	1575519	1576298	+	780	0
gene-KPN_01418	CP000647.1	1576295	1576654	+	360	0
gene-KPN_01419	CP000647.1	1576695	1576907	+	213	0
gene-KPN_01420	CP000647.1	1576911	1577321	+	411	0
gene-KPN_01421	CP000647.1	1577323	1577619	+	297	0
gene-KPN_01422	CP000647.1	1577591	1577974	+	384	0
gene-KPN_01423	CP000647.1	1577976	1578527	+	552	0
gene-KPN_01424	CP000647.1	1578524	1578916	+	393	0
gene-KPN_01425	CP000647.1	1578940	1579872	+	933	0
gene-KPN_01426	CP000647.1	1579900	1580394	+	495	0
gene-KPN_01427	CP000647.1	1581588	1581956	+	369	0
gene-KPN_01428	CP000647.1	1582029	1585142	+	3114	0
gene-KPN_01429	CP000647.1	1585226	1585561	+	336	2
gene-KPN_01430	CP000647.1	1585877	1586350	+	474	0
gene-KPN_01431	CP000647.1	1586337	1586819	+	483	0
gene-KPN_01432	CP000647.1	1587206	1590292	+	3087	0
gene-KPN_01433	CP000647.1	1590369	1593005	+	2637	0
gene-KPN_01434	CP000647.1	1593005	1593862	+	858	0
gene-KPN_01435	CP000647.1	1593924	1594097	+	174	0
gene-KPN_01436	CP000647.1	1594184	1594462	+	279	0
gene-KPN_01437	CP000647.1	1594546	1594962	+	417	91
gene-KPN_01438	CP000647.1	1595512	1595931	+	420	0
gene-KPN_01439	CP000647.1	1596110	1597198	+	1089	0
gene-KPN_01440	CP000647.1	1597377	1598762	-	1386	0
gene-KPN_01441	CP000647.1	1598767	1599264	-	498	0
gene-KPN_01442	CP000647.1	1599453	1600109	-	657	0
gene-KPN_01443	CP000647.1	1600280	1600957	-	678	0
gene-KPN_01444	CP000647.1	1601591	1602016	-	426	10133
gene-KPN_01445	CP000647.1	1602463	1603617	-	1155	25
gene-KPN_01446	CP000647.1	1603974	1607501	-	3528	1155
gene-KPN_01447	CP000647.1	1607876	1608127	+	252	62
gene-KPN_01448	CP000647.1	1608173	1608613	-	441	60
gene-KPN_01449	CP000647.1	1608736	1609725	-	990	1148
gene-KPN_01450	CP000647.1	1609873	1610373	-	501	8
gene-KPN_01451	CP000647.1	1610580	1613219	+	2640	116
gene-KPN_01452	CP000647.1	1613216	1613401	+	186	25
gene-KPN_01453	CP000647.1	1613409	1613732	+	324	3
gene-KPN_01454	CP000647.1	1613733	1614635	-	903	17
gene-KPN_01455	CP000647.1	1614871	1616370	+	1500	315
gene-KPN_01456	CP000647.1	1616495	1617385	+	891	71
gene-KPN_01457	CP000647.1	1617403	1618140	-	738	0
gene-KPN_01458	CP000647.1	1618140	1618970	-	831	0
gene-KPN_01459	CP000647.1	1618994	1619866	-	873	0
gene-KPN_01460	CP000647.1	1619893	1621413	-	1521	0
gene-KPN_01461	CP000647.1	1621902	1622816	+	915	0
gene-KPN_01462	CP000647.1	1622986	1624245	+	1260	0
gene-KPN_01463	CP000647.1	1624270	1624704	+	435	0
gene-KPN_01464	CP000647.1	1625368	1626525	+	1158	0
gene-KPN_01465	CP000647.1	1626550	1627368	+	819	0
gene-KPN_01466	CP000647.1	1627391	1628374	+	984	12
gene-KPN_01467	CP000647.1	1628377	1630644	-	2268	101
gene-KPN_01468	CP000647.1	1631108	1633165	-	2058	35
gene-KPN_01469	CP000647.1	1633452	1634381	+	930	4
gene-KPN_01470	CP000647.1	1634393	1634680	+	288	4
gene-KPN_01471	CP000647.1	1634688	1635443	+	756	2
gene-KPN_01472	CP000647.1	1635455	1635952	+	498	0
gene-KPN_01473	CP000647.1	1635960	1637030	+	1071	2
gene-KPN_01474	CP000647.1	1637027	1637794	+	768	0
gene-KPN_01475	CP000647.1	1637797	1638585	+	789	5
gene-KPN_01476	CP000647.1	1638586	1640010	+	1425	7
gene-KPN_01477	CP000647.1	1640000	1640422	+	423	1
gene-KPN_01478	CP000647.1	1640422	1641627	+	1206	19
gene-KPN_01479	CP000647.1	1641654	1642970	+	1317	90
gene-KPN_01480	CP000647.1	1643090	1644016	+	927	117
gene-KPN_01481	CP000647.1	1644026	1644622	+	597	262
gene-KPN_01482	CP000647.1	1644634	1645041	+	408	432
gene-KPN_01483	CP000647.1	1645078	1645683	-	606	231
gene-KPN_01484	CP000647.1	1645888	1649790	+	3903	1247
gene-KPN_01485	CP000647.1	1649851	1650525	-	675	141
gene-KPN_01486	CP000647.1	1650526	1651905	-	1380	86
gene-KPN_01487	CP000647.1	1651902	1652987	-	1086	28
gene-KPN_01488	CP000647.1	1653016	1654668	-	1653	62
gene-KPN_01489	CP000647.1	1654668	1655099	-	432	43
gene-KPN_01490	CP000647.1	1655207	1656106	-	900	25
gene-KPN_01491	CP000647.1	1656315	1657253	+	939	80
gene-KPN_01492	CP000647.1	1657409	1658683	-	1275	5113
gene-KPN_01493	CP000647.1	1659212	1660417	+	1206	68
gene-KPN_01494	CP000647.1	1660436	1661458	+	1023	1014
gene-KPN_01496	CP000647.1	1662936	1664276	+	1341	115
gene-KPN_01497	CP000647.1	1664260	1665282	+	1023	47
gene-KPN_01498	CP000647.1	1665292	1666722	+	1431	138
gene-KPN_01499	CP000647.1	1666929	1668254	-	1326	12
gene-KPN_01500	CP000647.1	1668635	1669435	+	801	91
gene-KPN_01501	CP000647.1	1669657	1671072	+	1416	98
gene-KPN_01502	CP000647.1	1671121	1672119	-	999	1774
gene-KPN_01503	CP000647.1	1672402	1672560	+	159	1437
gene-KPN_01504	CP000647.1	1672595	1672987	-	393	176
gene-KPN_01505	CP000647.1	1673238	1673471	-	234	73
gene-KPN_01506	CP000647.1	1673468	1674676	-	1209	60
gene-KPN_01507	CP000647.1	1674780	1675133	-	354	44
gene-KPN_01508	CP000647.1	1675370	1675849	+	480	39
gene-KPN_01509	CP000647.1	1675919	1676122	-	204	49
gene-KPN_01510	CP000647.1	1676434	1677462	+	1029	42
gene-KPN_01511	CP000647.1	1677476	1678648	-	1173	22
gene-KPN_01512	CP000647.1	1678700	1680292	-	1593	35
gene-KPN_01513	CP000647.1	1680387	1681415	+	1029	44
gene-KPN_01514	CP000647.1	1681455	1683032	-	1578	183
gene-KPN_01515	CP000647.1	1683119	1684297	-	1179	185
gene-KPN_01516	CP000647.1	1684499	1686145	+	1647	824
gene-KPN_01517	CP000647.1	1686485	1687885	+	1401	1964
gene-KPN_01518	CP000647.1	1687875	1688807	-	933	73
gene-KPN_01519	CP000647.1	1688883	1690184	-	1302	37
gene-KPN_01520	CP000647.1	1690440	1690802	-	363	62
gene-KPN_01521	CP000647.1	1691045	1691764	-	720	92
gene-KPN_01522	CP000647.1	1691893	1692228	+	336	14
gene-KPN_01523	CP000647.1	1692225	1692947	-	723	53
gene-KPN_01524	CP000647.1	1692984	1694366	-	1383	42
gene-KPN_01525	CP000647.1	1694544	1695494	-	951	125
gene-KPN_01526	CP000647.1	1696001	1697545	+	1545	443
gene-KPN_01527	CP000647.1	1697556	1698944	+	1389	511
gene-KPN_01528	CP000647.1	1699093	1699281	+	189	708
gene-KPN_01529	CP000647.1	1699390	1700340	-	951	2324
gene-KPN_01530	CP000647.1	1700479	1700937	-	459	609
gene-KPN_01531	CP000647.1	1701426	1701953	-	528	43
gene-KPN_01532	CP000647.1	1702425	1703951	-	1527	100
gene-KPN_01533	CP000647.1	1704071	1705516	-	1446	18
gene-KPN_01534	CP000647.1	1705516	1706826	-	1311	8
gene-KPN_01535	CP000647.1	1706993	1707901	+	909	18
gene-KPN_01536	CP000647.1	1708003	1708566	+	564	94
gene-KPN_01537	CP000647.1	1708563	1709369	-	807	25
gene-KPN_01538	CP000647.1	1709539	1710225	+	687	5
gene-KPN_01539	CP000647.1	1710236	1710892	+	657	1
gene-KPN_01540	CP000647.1	1710900	1712105	+	1206	52
gene-KPN_01541	CP000647.1	1712115	1713467	+	1353	22
gene-KPN_01542	CP000647.1	1713457	1714221	+	765	156
gene-KPN_01543	CP000647.1	1714214	1714603	+	390	86
gene-KPN_01544	CP000647.1	1716109	1717353	-	1245	53
gene-KPN_01545	CP000647.1	1717378	1717716	-	339	72
gene-KPN_01546	CP000647.1	1717889	1719541	-	1653	25
gene-KPN_01547	CP000647.1	1719596	1721032	-	1437	4
gene-KPN_01548	CP000647.1	1721749	1724526	+	2778	19
gene-KPN_01549	CP000647.1	1724594	1725544	+	951	47
gene-KPN_01550	CP000647.1	1725525	1726211	-	687	66
gene-KPN_01551	CP000647.1	1726241	1727857	-	1617	173
gene-KPN_01552	CP000647.1	1728013	1728369	+	357	12
gene-KPN_01553	CP000647.1	1728521	1729453	+	933	2760
gene-KPN_01554	CP000647.1	1729727	1731373	+	1647	101
gene-KPN_01555	CP000647.1	1731533	1731928	-	396	5
gene-KPN_01556	CP000647.1	1731936	1733159	-	1224	50
gene-KPN_01557	CP000647.1	1733762	1734688	+	927	104
gene-KPN_01558	CP000647.1	1734678	1735580	-	903	0
gene-KPN_01559	CP000647.1	1735580	1736197	-	618	2
gene-KPN_01560	CP000647.1	1737297	1738097	-	801	6
gene-KPN_01561	CP000647.1	1738097	1738930	-	834	0
gene-KPN_01562	CP000647.1	1739240	1740082	-	843	2
gene-KPN_01563	CP000647.1	1740082	1741737	-	1656	5
gene-KPN_01564	CP000647.1	1741962	1742996	-	1035	128
gene-KPN_01565	CP000647.1	1743439	1743801	+	363	75
gene-KPN_01566	CP000647.1	1743788	1744117	+	330	57
gene-KPN_01567	CP000647.1	1744291	1745103	-	813	45
gene-KPN_01568	CP000647.1	1745585	1745689	+	105	4
gene-KPN_01569	CP000647.1	1746049	1746468	-	420	196
gene-KPN_01570	CP000647.1	1746633	1748120	-	1488	116
gene-KPN_01571	CP000647.1	1748337	1748429	+	93	194
gene-KPN_01572	CP000647.1	1748460	1749710	-	1251	110
gene-KPN_01573	CP000647.1	1749841	1750743	+	903	188
gene-KPN_01574	CP000647.1	1750864	1752087	+	1224	133
gene-KPN_01575	CP000647.1	1752215	1752910	+	696	192
gene-KPN_01576	CP000647.1	1752863	1754158	-	1296	29
gene-KPN_01577	CP000647.1	1754292	1754900	-	609	27
gene-KPN_01578	CP000647.1	1754942	1755799	-	858	18
gene-KPN_01579	CP000647.1	1755801	1756418	-	618	77
gene-KPN_01580	CP000647.1	1756429	1758864	-	2436	32
gene-KPN_01581	CP000647.1	1759015	1759284	-	270	1699
gene-KPN_01582	CP000647.1	1759395	1760096	+	702	416
gene-KPN_01583	CP000647.1	1760090	1760650	-	561	347
gene-KPN_01584	CP000647.1	1760729	1761070	-	342	644
gene-KPN_01585	CP000647.1	1761215	1761541	+	327	2
gene-KPN_01586	CP000647.1	1761655	1762938	+	1284	673
gene-KPN_01587	CP000647.1	1763192	1764655	+	1464	1746
gene-KPN_01588	CP000647.1	1764920	1765351	+	432	642
gene-KPN_01589	CP000647.1	1765402	1766088	-	687	187
gene-KPN_01590	CP000647.1	1766180	1766929	-	750	508
gene-KPN_01591	CP000647.1	1767060	1769105	+	2046	514
gene-KPN_01592	CP000647.1	1769183	1769569	-	387	8
gene-KPN_01593	CP000647.1	1769597	1770439	+	843	81
gene-KPN_01594	CP000647.1	1770490	1771164	-	675	185
gene-KPN_01595	CP000647.1	1771638	1772294	-	657	15
gene-KPN_01596	CP000647.1	1773285	1773758	+	474	541
gene-KPN_01597	CP000647.1	1773924	1774436	+	513	409
gene-KPN_01598	CP000647.1	1774457	1775674	-	1218	111
gene-KPN_01599	CP000647.1	1776225	1776836	-	612	6
gene-KPN_01600	CP000647.1	1777132	1778073	+	942	88
gene-KPN_01601	CP000647.1	1778100	1779464	-	1365	51
gene-KPN_01602	CP000647.1	1779522	1780277	-	756	26
gene-KPN_01603	CP000647.1	1780309	1780929	-	621	22
gene-KPN_01604	CP000647.1	1780922	1782187	-	1266	23
gene-KPN_01605	CP000647.1	1782199	1783101	-	903	47
gene-KPN_01606	CP000647.1	1783401	1784123	+	723	104
gene-KPN_01607	CP000647.1	1784144	1785004	-	861	29
gene-KPN_01608	CP000647.1	1785281	1785562	+	282	48
gene-KPN_01609	CP000647.1	1786768	1788039	-	1272	106
gene-KPN_01610	CP000647.1	1788088	1791195	-	3108	22
gene-KPN_01611	CP000647.1	1791392	1792456	+	1065	39
gene-KPN_01612	CP000647.1	1792453	1792590	-	138	84
gene-KPN_01613	CP000647.1	1793204	1793398	-	195	70
gene-KPN_01614	CP000647.1	1793388	1794485	-	1098	21
gene-KPN_01615	CP000647.1	1795100	1796203	+	1104	97
gene-KPN_01616	CP000647.1	1796429	1797646	+	1218	11
gene-KPN_01617	CP000647.1	1797708	1799282	+	1575	2
gene-KPN_01618	CP000647.1	1799282	1800355	+	1074	0
gene-KPN_01619	CP000647.1	1800355	1801152	+	798	15
gene-KPN_01620	CP000647.1	1801437	1801859	+	423	2
gene-KPN_01621	CP000647.1	1802507	1803721	-	1215	31
gene-KPN_01622	CP000647.1	1803899	1804798	+	900	15
gene-KPN_01623	CP000647.1	1804847	1805065	-	219	3
gene-KPN_01624	CP000647.1	1805106	1805483	-	378	66
gene-KPN_01625	CP000647.1	1805501	1805935	-	435	11
gene-KPN_01626	CP000647.1	1806046	1806153	+	108	12
gene-KPN_01627	CP000647.1	1806197	1806865	+	669	126
gene-KPN_01628	CP000647.1	1806934	1808133	-	1200	10
gene-KPN_01629	CP000647.1	1808335	1809126	+	792	216
gene-KPN_01630	CP000647.1	1809190	1809384	-	195	9
gene-KPN_01631	CP000647.1	1809389	1809478	+	90	1
gene-KPN_01632	CP000647.1	1809493	1810437	-	945	17
gene-KPN_01633	CP000647.1	1810582	1811064	+	483	0
gene-KPN_01634	CP000647.1	1811018	1811896	-	879	8
gene-KPN_01635	CP000647.1	1811998	1813386	+	1389	85
gene-KPN_01636	CP000647.1	1813446	1814393	+	948	73
gene-KPN_01637	CP000647.1	1814393	1814761	+	369	6
gene-KPN_01638	CP000647.1	1814876	1816300	+	1425	212
gene-KPN_01639	CP000647.1	1816378	1816908	+	531	15
gene-KPN_01640	CP000647.1	1817022	1818473	+	1452	162
gene-KPN_01641	CP000647.1	1819238	1819336	+	99	86
gene-KPN_01642	CP000647.1	1819384	1819476	-	93	4
gene-KPN_01643	CP000647.1	1819742	1820458	+	717	0
gene-KPN_01644	CP000647.1	1821207	1821587	-	381	1
gene-KPN_01645	CP000647.1	1821578	1821898	-	321	41
gene-KPN_01646	CP000647.1	1822059	1822862	-	804	51
gene-KPN_01647	CP000647.1	1823029	1823319	-	291	44
gene-KPN_01648	CP000647.1	1823548	1824735	-	1188	21
gene-KPN_01649	CP000647.1	1824891	1825298	-	408	4
gene-KPN_01650	CP000647.1	1825521	1826678	+	1158	8
gene-KPN_01651	CP000647.1	1826675	1827520	-	846	26
gene-KPN_01652	CP000647.1	1828679	1829338	-	660	10
gene-KPN_01653	CP000647.1	1829335	1830126	-	792	3
gene-KPN_01654	CP000647.1	1830123	1830929	-	807	0
gene-KPN_01655	CP000647.1	1830953	1831981	-	1029	6
gene-KPN_01656	CP000647.1	1832243	1832527	+	285	5
gene-KPN_01657	CP000647.1	1832549	1832860	+	312	7
gene-KPN_01658	CP000647.1	1833037	1833792	+	756	15
gene-KPN_01659	CP000647.1	1833802	1834746	-	945	10
gene-KPN_01660	CP000647.1	1834852	1836090	+	1239	1
gene-KPN_01661	CP000647.1	1836067	1837056	-	990	3
gene-KPN_01662	CP000647.1	1838216	1839139	+	924	0
gene-KPN_01663	CP000647.1	1839120	1840274	-	1155	6
gene-KPN_01664	CP000647.1	1840620	1841999	+	1380	2
gene-KPN_01665	CP000647.1	1841977	1842477	+	501	5
gene-KPN_01666	CP000647.1	1842474	1842800	+	327	0
gene-KPN_01667	CP000647.1	1843045	1843332	+	288	12
gene-KPN_01668	CP000647.1	1843332	1844654	+	1323	46
gene-KPN_01669	CP000647.1	1844671	1845963	-	1293	108
gene-KPN_01670	CP000647.1	1846105	1847109	-	1005	7
gene-KPN_01671	CP000647.1	1847097	1849598	-	2502	6
gene-KPN_01672	CP000647.1	1849614	1850309	-	696	2
gene-KPN_01673	CP000647.1	1850387	1850950	-	564	7
gene-KPN_01674	CP000647.1	1851912	1852694	-	783	169
gene-KPN_01675	CP000647.1	1852675	1852893	-	219	6
gene-KPN_01676	CP000647.1	1853183	1853431	-	249	41
gene-KPN_01677	CP000647.1	1853728	1855383	+	1656	368
gene-KPN_01678	CP000647.1	1855417	1856346	-	930	76
gene-KPN_01679	CP000647.1	1856540	1856680	-	141	2
gene-KPN_01680	CP000647.1	1857361	1857804	-	444	90
gene-KPN_01681	CP000647.1	1857794	1859179	-	1386	111
gene-KPN_01682	CP000647.1	1859985	1861313	-	1329	139
gene-KPN_01683	CP000647.1	1861325	1862857	-	1533	26
gene-KPN_01684	CP000647.1	1863125	1863823	+	699	15
